name,type,start_time,duration,"mosi","miso"
"SPI","enable",1.637619625,0.000000042,,
"SPI","result",1.637620125,0.000007542,0x21,0x2F
"SPI","result",1.637628125,0.000007542,0x56,0x2F
"SPI","disable",1.637636625,0.000000042,,
"SPI","enable",1.637671625,0.000000042,,
"SPI","result",1.637672125,0.000007542,0x22,0x2F
"SPI","result",1.637680125,0.000007542,0x10,0x2F
"SPI","disable",1.637688667,0.000000042,,
"SPI","enable",1.637723667,0.000000042,,
"SPI","result",1.637724167,0.000007542,0x23,0x2F
"SPI","result",1.637732167,0.000007542,0xE9,0x2F
"SPI","disable",1.637740667,0.000000042,,
"SPI","enable",1.637775667,0.000000042,,
"SPI","result",1.637776167,0.000007542,0x24,0x2F
"SPI","result",1.637784167,0.000007542,0x0A,0x2F
"SPI","disable",1.637792708,0.000000042,,
"SPI","enable",1.637827708,0.000000042,,
"SPI","result",1.637828208,0.000007542,0x25,0x2F
"SPI","result",1.637836208,0.000007542,0x00,0x2F
"SPI","disable",1.637844708,0.000000042,,
"SPI","enable",1.637879708,0.000000042,,
"SPI","result",1.637880208,0.000007542,0x26,0x2F
"SPI","result",1.637888208,0.000007542,0x11,0x2F
"SPI","disable",1.637896708,0.000000042,,
"SPI","enable",1.637931708,0.000000042,,
"SPI","result",1.637932208,0.000007542,0x2C,0x2F
"SPI","result",1.637940208,0.000007542,0x88,0x2F
"SPI","disable",1.637948708,0.000000042,,
"SPI","enable",1.637983708,0.000000042,,
"SPI","result",1.637984208,0.000007542,0x2D,0x2F
"SPI","result",1.637992208,0.000007542,0x31,0x2F
"SPI","disable",1.638000708,0.000000042,,
"SPI","enable",1.638035708,0.000000042,,
"SPI","result",1.638036208,0.000007542,0x2E,0x2F
"SPI","result",1.638044208,0.000007542,0x0B,0x2F
"SPI","disable",1.63805275,0.000000042,,
"SPI","enable",1.638092333,0.000000042,,
"SPI","result",1.638092833,0.000007542,0x33,0x2F
"SPI","disable",1.638101375,0.000000042,,
"SPI","enable",1.6381505,0.000000042,,
"SPI","result",1.638151,0.000007542,0x8B,0x20
"SPI","result",1.638159,0.000007542,0x00,0x08
"SPI","disable",1.6381675,0.000000042,,
"SPI","enable",1.638205917,0.000000042,,
"SPI","result",1.638206417,0.000007542,0x8C,0x20
"SPI","result",1.638214417,0.000007542,0x00,0x00
"SPI","disable",1.638222917,0.000000042,,
"SPI","enable",1.638261917,0.000000042,,
"SPI","result",1.638262417,0.000007542,0x8D,0x20
"SPI","result",1.638270417,0.000007542,0x00,0x21
